Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1983,Total,49727,47507,50021,53744,61946,63559,55415,45102,37556,33674,34908,35546,31805,25919,21638,15356,9502,7282,680207,340104,30to34YearOldsCumSum,0.245412,30.98165,49727,97234,147255,200999,262945,326504,381919,427021,464577,498251,533159,568705,600510,626429,648067,663423,672925,680207
1983,Female,24209,23283,24405,26681,32151,32678,28308,23372,19724,17768,18506,19056,17340,14943,13262,9953,6655,5502,357796,178898,30to34YearOldsCumSum,0.54723,32.18892,24209,47492,71897,98578,130729,163407,191715,215087,234811,252579,271085,290141,307481,322424,335686,345639,352294,357796
1983,Male,25518,24224,25616,27063,29795,30881,27107,21730,17832,15906,16402,16490,14465,10976,8376,5403,2847,1780,322411,161206,25to29YearOldsCumSum,0.938749,28.75499,25518,49742,75358,102421,132216,163097,190204,211934,229766,245672,262074,278564,293029,304005,312381,317784,320631,322411
1984,Total,48987,48105,49103,51548,60346,63206,55757,47221,38162,33818,33747,34784,32158,26208,21821,15624,9720,7574,677889,338945,30to34YearOldsCumSum,0.316543,31.26617,48987,97092,146195,197743,258089,321295,377052,424273,462435,496253,530000,564784,596942,623150,644971,660595,670315,677889
1984,Female,23838,23561,23944,25608,31302,32529,28549,24482,20004,17820,17904,18651,17562,15079,13317,10151,6811,5738,356850,178425,30to34YearOldsCumSum,0.61799,32.47196,23838,47399,71343,96951,128253,160782,189331,213813,233817,251637,269541,288192,305754,320833,334150,344301,351112,356850
1984,Male,25149,24544,25159,25940,29044,30677,27208,22739,18158,15998,15843,16133,14596,11129,8504,5473,2909,1836,321039,160520,30to34YearOldsCumSum,0.000239,30.00096,25149,49693,74852,100792,129836,160513,187721,210460,228618,244616,260459,276592,291188,302317,310821,316294,319203,321039
1985,Total,47856,48352,47903,49920,58401,62678,56566,49172,38888,33847,32809,34066,32575,26490,21931,15875,9942,7806,675077,337539,30to34YearOldsCumSum,0.396501,31.58601,47856,96208,144111,194031,252432,315110,371676,420848,459736,493583,526392,560458,593033,619523,641454,657329,667271,675077
1985,Female,23274,23666,23349,24765,30250,32266,29008,25486,20331,17815,17436,18258,17829,15208,13349,10300,6992,5924,355506,177753,30to34YearOldsCumSum,0.695774,32.78309,23274,46940,70289,95054,125304,157570,186578,212064,232395,250210,267646,285904,303733,318941,332290,342590,349582,355506
1985,Male,24582,24686,24554,25155,28151,30412,27558,23686,18557,16032,15373,15808,14746,11282,8582,5575,2950,1882,319571,159786,30to34YearOldsCumSum,0.081483,30.32593,24582,49268,73822,98977,127128,157540,185098,208784,227341,243373,258746,274554,289300,300582,309164,314739,317689,319571
1986,Total,46943,48541,46093,49575,55557,62342,57210,51914,39325,34186,32106,33528,32464,27337,21856,16163,10313,8059,673512,336756,30to34YearOldsCumSum,0.484268,31.93707,46943,95484,141577,191152,246709,309051,366261,418175,457500,491686,523792,557320,589784,617121,638977,655140,665453,673512
